"Supporting table 1 - Dataset assembly and protein classification, Related to Figure 1",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ENSG00000286268,ENSP00000498524,,A0A494C0F3,PF05241,96-181,0,Non-PRD proteins
ENSG00000135476,ENSP00000257934,ESPL1,Q14674,PF03568,1720-2069,1,PRD proteins
ENSG00000082701,ENSP00000497956,GSK3B,A0A3B3ITW1,PF00069,56-340,1,PRD proteins
ENSG00000140297,ENSP00000379377,GCNT3,O95395,PF02485,133-402,0,PRD proteins
ENSG00000274791,ENSP00000358518,,P23610,PF14938,29-215,0,Non-PRD proteins
ENSG00000167325,ENSP00000300738,RRM1,P23921,PF02867;PF00317;PF03477,216-738;141-213;1-89,1,Viral-binding non-PRDs
ENSG00000166562,ENSP00000468633,SEC11C,Q9BY50,PF00717,32-155,1,Non-PRD proteins
ENSG00000089639,ENSP00000203556,GMIP,Q9P107,PF00620,565-728,1,PRD proteins
ENSG00000003096,ENSP00000419803,KLHL13,Q9P2N7,PF07707;PF00651;PF01344;PF01344;PF01344;PF01344;PF01344,196-297;82-190;378-428;430-475;477-522;525-574;578-623,0,PRD proteins
ENSG00000172769,ENSP00000493217,OR5B3,Q8NH48,PF13853,29-306,0,Non-PRD proteins
ENSG00000095397,ENSP00000354623,WHRN,Q9P202,PF00595;PF00595;PF00595,140-219;279-357;816-890,1,PRD proteins
ENSG00000182533,ENSP00000341940,CAV3,P56539,PF01146,15-148,1,Viral-binding non-PRDs
ENSG00000135624,ENSP00000258091,CCT7,Q99832,PF00118,32-524,0,Viral-binding non-PRDs
ENSG00000164442,ENSP00000444198,CITED2,A0A0A0MTM3,PF04487,6-275,0,Non-PRD proteins
ENSG00000282269,ENSP00000488385,PRR4,A0A0J9YXF8,PF15240,25-146,0,Non-PRD proteins
ENSG00000251655,ENSP00000442127,PRB1,G3V1M9,PF15240;PF15240,1-155;229-330,0,Non-PRD proteins
ENSG00000038274,ENSP00000325425,MAT2B,Q9NZL9,PF04321,29-324,0,Viral-binding non-PRDs
ENSG00000247596,ENSP00000303908,TWF2,Q6IBS0,PF00241;PF00241,9-137;186-311,1,Non-PRD proteins
ENSG00000198771,ENSP00000356828,RCSD1,Q6JBY9,PF05177;PF15255,229-329;77-212,1,Non-PRD proteins
ENSG00000100312,ENSP00000216139,ACR,P10323,PF00089,43-285,0,PRD proteins
ENSG00000198839,ENSP00000354501,ZNF277,Q9NRM2,PF12756;PF12756;PF12756,58-128;172-269;301-406,1,Non-PRD proteins
ENSG00000069122,ENSP00000265417,ADGRF5,Q8IZF2,PF00002;PF01825;PF01390;PF13927,1010-1262;952-996;168-272;275-353,1,Non-PRD proteins
ENSG00000116014,ENSP00000234371,KISS1R,Q969F8,PF00001,59-323,0,Non-PRD proteins
ENSG00000112624,ENSP00000377723,BICRAL,Q6AI39,PF15249,711-811,1,Non-PRD proteins
ENSG00000156531,ENSP00000487420,PHF6,A0A0D9SGE8,PF13771;PF13771,42-132;240-331,1,Viral-binding non-PRDs
ENSG00000163273,ENSP00000387159,NPPC,P23582,PF00212,96-126,1,Non-PRD proteins
ENSG00000146828,ENSP00000275730,SLC12A9,Q9BXP2,PF03522;PF00324,545-639;42-536,0,Non-PRD proteins
ENSG00000159885,ENSP00000375822,ZNF222,Q9UK12,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352,145-167;173-195;229-251;257-279;313-335;369-391;7-48,0,Non-PRD proteins
ENSG00000167995,ENSP00000399709,BEST1,O76090,PF01062,8-316,1,Non-PRD proteins
ENSG00000126581,ENSP00000465364,BECN1,Q14457,PF04111;PF15285;PF17675,264-445;105-129;135-261,1,Viral-binding non-PRDs
ENSG00000250361,ENSP00000492357,GYPB,A0A1W2PQZ9,PF01102,34-121,0,Viral-binding non-PRDs
ENSG00000185860,ENSP00000356887,CCDC190,Q86UF4,PF15768,8-277,0,Non-PRD proteins
ENSG00000125821,ENSP00000495845,DTD1,A0A2R8Y6X2,PF02580,2-146,0,Viral-binding non-PRDs
ENSG00000131914,ENSP00000254231,LIN28A,Q9H9Z2,PF00313;PF00098,40-112;137-154,0,Non-PRD proteins
ENSG00000119431,ENSP00000238379,HDHD3,Q9BSH5,PF13419,65-211,0,Non-PRD proteins
ENSG00000130707,ENSP00000253004,ASS1,P00966,PF00764,8-403,0,Viral-binding non-PRDs
ENSG00000286231,ENSP00000499157,,A0A494C1P3,PF03473;PF03476,187-306;40-161,0,Non-PRD proteins
ENSG00000196363,ENSP00000351446,WDR5,P61964,PF00400;PF00400;PF00400;PF00400;PF00400;PF00400;PF00400,35-72;77-115;119-157;161-199;203-242;246-287;291-331,1,Inferred viral-binding PRDs
ENSG00000196453,ENSP00000247930,ZNF777,Q9ULD5,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352;PF12417,546-568;574-596;636-658;664-686;694-716;722-744;750-772;778-800;284-325;188-255,0,Non-PRD proteins
ENSG00000080644,ENSP00000315602,CHRNA3,P32297,PF02931;PF02932,35-241;248-495,1,Non-PRD proteins
ENSG00000213638,ENSP00000332448,ADAT3,D6W601,PF00383,186-326,0,Non-PRD proteins
ENSG00000127995,ENSP00000297273,CASD1,Q96PB1,PF07779,295-776,1,Non-PRD proteins
ENSG00000180305,ENSP00000361726,WFDC10A,Q9H1F0,PF00095,36-78,0,Non-PRD proteins
ENSG00000228607,ENSP00000396304,CLDN25,C9JDP6,PF00822,7-183,0,Non-PRD proteins
ENSG00000178385,ENSP00000417003,PLEKHM3,Q6ZWE6,PF13901;PF00169,529-730;362-456,1,Non-PRD proteins
ENSG00000206559,ENSP00000373278,ZCWPW2,Q504Y3,PF00855;PF07496,96-187;29-77,0,Non-PRD proteins
ENSG00000277060,ENSP00000484080,NLRP2,A0A0G2JPQ2,PF05729;PF13516;PF13516;PF13516;PF13516;PF02758;PF17779;PF17776,207-375;809-831;866-889;923-946;980-1003;10-86;445-501;503-620,0,Non-PRD proteins
ENSG00000147133,ENSP00000406549,TAF1,P21675,PF15288;PF12157;PF00439;PF00439;PF09247,1261-1300;565-1028;1389-1472;1511-1595;24-86,0,Viral-binding non-PRDs
ENSG00000134532,ENSP00000398273,SOX5,P35711,PF00505,556-624,1,Viral-binding non-PRDs
ENSG00000077152,ENSP00000494957,UBE2T,Q9NPD8,PF00179,6-147,0,viral-binding PRDs
ENSG00000164707,ENSP00000297282,SLC13A4,Q9UKG4,PF00939,5-610,1,Viral-binding non-PRDs
ENSG00000141946,ENSP00000269834,ZIM3,Q96PE6,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352,223-245;279-301;307-329;335-357;363-385;391-413;419-441;447-470;7-48,0,Non-PRD proteins
ENSG00000135108,ENSP00000328187,FBXO21,O94952,PF13369;PF08755,215-390;501-593,1,Non-PRD proteins
ENSG00000277263,ENSP00000479287,HLA-DRA,A0A0G2JMH6,PF07654;PF00993,114-195;29-108,0,Non-PRD proteins
ENSG00000107130,ENSP00000361475,NCS1,P62166,PF13499;PF00036;PF00036,98-174;65-92;148-175,0,PRD proteins
ENSG00000172493,ENSP00000378578,AFF1,P51825,PF05110;PF18875;PF18876,8-520;761-775;948-1210,0,Viral-binding non-PRDs
ENSG00000176783,ENSP00000377087,RUFY1,Q96T51,PF01363;PF02759,637-701;147-270,1,Non-PRD proteins
ENSG00000215375,ENSP00000383023,MYL5,Q02045,PF13202;PF00036,106-129;34-62,0,PRD proteins
ENSG00000100078,ENSP00000215885,PLA2G3,Q9NZ20,PF05826,152-248,0,Non-PRD proteins
ENSG00000196636,ENSP00000414066,SDHAF3,Q9NRP4,PF13233,9-114,0,Non-PRD proteins
ENSG00000170396,ENSP00000303252,ZNF804A,Q7Z570,PF12171,56-84,1,Non-PRD proteins
ENSG00000142748,ENSP00000270879,FCN3,O75636,PF00147,89-299,0,Non-PRD proteins
ENSG00000111271,ENSP00000389813,ACAD10,Q6JQN1,PF01636;PF00441;PF13419;PF02771;PF02770,287-530;904-1055;117-231;660-787;791-892,0,Viral-binding non-PRDs
ENSG00000121634,ENSP00000358238,GJA8,P48165,PF00029;PF03509,3-229;260-326,0,Non-PRD proteins
ENSG00000166363,ENSP00000299454,OR10A5,Q9H207,PF13853,32-309,0,Non-PRD proteins
ENSG00000133169,ENSP00000361813,BEX1,Q9HBH7,PF04538,14-121,0,Non-PRD proteins
ENSG00000130962,ENSP00000443271,PRRG1,O14668,PF00594,25-65,1,Non-PRD proteins
ENSG00000166012,ENSP00000410409,TAF1D,Q9H5J8,PF15333,27-244,1,Non-PRD proteins
ENSG00000256825,ENSP00000457704,,A0A088AWK7,PF01352;PF01352,13-54;245-286,0,Non-PRD proteins
ENSG00000134317,ENSP00000324693,GRHL1,Q9NZI5,PF04516,231-442,1,Non-PRD proteins
ENSG00000167759,ENSP00000470555,KLK13,Q9UKR3,PF00089,36-258,0,PRD proteins
ENSG00000089091,ENSP00000262547,DZANK1,Q9NVP4,PF13287;PF12773,32-100;339-387,1,Non-PRD proteins
ENSG00000185823,ENSP00000333735,NPAP1,Q9NZP6,PF15229,154-383,0,Non-PRD proteins
ENSG00000286192,ENSP00000498895,,A0A3B3ITW8,PF01728,52-143,0,Non-PRD proteins
ENSG00000140067,ENSP00000267594,FAM181A,Q8N9Y4,PF15238,63-342,0,Non-PRD proteins
ENSG00000233276,ENSP00000407375,GPX1,P07203,PF00255,16-130,1,Viral-binding non-PRDs
ENSG00000174448,ENSP00000310814,STARD6,P59095,PF01852,6-211,0,Non-PRD proteins
ENSG00000236178,ENSP00000447141,VARS2,A0A140TA35,PF08264;PF00133,809-962;142-765,0,Non-PRD proteins
ENSG00000173614,ENSP00000366410,NMNAT1,Q9HAN9,PF01467,12-229,1,Viral-binding non-PRDs
ENSG00000162062,ENSP00000355022,TEDC2,Q7L2K0,PF15764,148-431,1,Non-PRD proteins
ENSG00000171621,ENSP00000350573,SPSB1,Q96BD6,PF00622;PF07525,97-228;234-272,1,PRD proteins
ENSG00000162591,ENSP00000348982,MEGF6,O75095,PF12661;PF12661;PF12661;PF12661;PF12661;PF14670;PF14670;PF00053;PF00053;PF00053;PF00053;PF00053;PF07645,527-546;919-938;1005-1024;1048-1067;1091-1110;165-200;416-451;568-613;873-919;1128-1174;1175-1221;1344-1391;285-324,0,Viral-binding non-PRDs
ENSG00000157107,ENSP00000393776,FCHO2,Q0JRZ9,PF00611;PF10291,17-89;543-809,0,Non-PRD proteins
ENSG00000170092,ENSP00000485398,SPDYE5,A6NIY4,PF11357;PF11357,194-308;336-398,0,Non-PRD proteins
ENSG00000136169,ENSP00000482240,SETDB2,A0A087WYZ9,PF01429;PF00856;PF05033,160-232;378-694;246-359,1,Viral-binding non-PRDs
ENSG00000123124,ENSP00000427793,WWP1,Q9H0M0,PF00168;PF00632;PF00397;PF00397;PF00397;PF00397,18-118;617-922;351-380;383-412;458-487;498-527,1,viral-binding PRDs
ENSG00000038219,ENSP00000040738,BOD1L1,Q8NFC6,PF05205,56-152,0,Viral-binding non-PRDs
ENSG00000042832,ENSP00000220616,TG,P01266,PF00135;PF00086;PF00086;PF00086;PF00086;PF00086;PF00086;PF00086;PF00086;PF00086;PF00086;PF07699,2197-2718;34-92;96-160;169-251;301-358;597-658;662-726;730-801;1006-1073;1077-1149;1149-1210;1465-1510,1,Non-PRD proteins
ENSG00000278742,ENSP00000481100,LRRC37A,A0A0G2JNC9,PF13855;PF14914;PF15779;PF15779;PF15779;PF15779;PF15779;PF15779,891-949;1468-1613;251-320;352-433;487-565;560-629;628-684;687-739,0,Non-PRD proteins
ENSG00000085999,ENSP00000396113,RAD54L,Q92698,PF00176;PF00271,156-463;496-611,1,Non-PRD proteins
ENSG00000197353,ENSP00000352163,LYPD2,Q6UXB3,PF00087,23-100,0,Non-PRD proteins
ENSG00000163558,ENSP00000295797,PRKCI,P41743,PF00130;PF00069;PF00564;PF00433,141-193;254-522;25-107;544-584,0,Inferred viral-binding PRDs
ENSG00000170324,ENSP00000490201,FRMPD2,A0A1B0GUQ4,PF09379;PF09380;PF00595;PF00595;PF00595;PF00373,346-408;557-646;775-858;951-1032;1079-1164;434-550,0,Inferred viral-binding PRDs
ENSG00000150637,ENSP00000280200,CD226,Q15762,PF07686;PF07686,24-126;136-241,0,Non-PRD proteins
ENSG00000180708,ENSP00000493297,OR10K2,Q6IF99,PF13853,31-308,0,Non-PRD proteins
ENSG00000152413,ENSP00000334382,HOMER1,Q86YM7,PF00568,1-107,1,PRD proteins
ENSG00000186471,ENSP00000360485,AKAP14,Q86UN6,PF14469,67-187,0,Non-PRD proteins
ENSG00000175766,ENSP00000427633,EIF4E1B,A6NMX2,PF01652,63-222,0,PRD proteins
ENSG00000146700,ENSP00000275560,SSC4D,Q8WTU2,PF00530;PF00530;PF00530;PF00530,61-158;192-289;347-444;476-573,0,Non-PRD proteins
ENSG00000274891,ENSP00000481735,TRAPPC12,Q53QD4,PF13174;PF14559,197-228;281-345,0,Non-PRD proteins
ENSG00000204713,ENSP00000366404,TRIM27,P14373,PF00622;PF13765;PF15227;PF00643,370-487;318-366;16-56;91-132,1,viral-binding PRDs
ENSG00000198231,ENSP00000464050,DDX42,Q86XP3,PF00270;PF00271,277-448;483-593,1,viral-binding PRDs
ENSG00000135253,ENSP00000479679,KCP,A0A087WVT8,PF00093;PF00093;PF00093;PF00093;PF00093;PF00093;PF00093;PF00093;PF00093;PF00093;PF00094,138-188;192-248;251-307;310-365;424-480;483-539;600-656;898-954;1143-1204;1211-1268;1275-1424,0,Non-PRD proteins
ENSG00000157538,ENSP00000311399,VPS26C,O14972,PF03643,3-283,1,Viral-binding non-PRDs
ENSG00000065802,ENSP00000264607,ASB1,Q9Y576,PF07525;PF12796;PF12796,296-334;41-141;106-174,0,Non-PRD proteins
ENSG00000213347,ENSP00000389716,MXD3,Q9BW11,PF00010,58-110,0,Non-PRD proteins
ENSG00000020633,ENSP00000382800,RUNX3,Q13761,PF00853;PF08504,55-184;316-415,1,Viral-binding non-PRDs
ENSG00000121594,ENSP00000418364,CD80,P33681,PF08205;PF07686,141-227;36-135,0,Viral-binding non-PRDs
ENSG00000162706,ENSP00000357106,CADM3,Q8N126,PF08205;PF07686;PF13927,133-220;35-127;232-303,1,Non-PRD proteins
ENSG00000165521,ENSP00000451998,EML5,Q05BV3,PF12894;PF12894;PF03451;PF03451;PF03451;PF00400;PF00400;PF00400;PF00400;PF00400;PF00400;PF00400;PF00400,376-462;1741-1873;2-48;656-715;1332-1402;51-91;314-353;553-592;717-757;761-802;988-1026;1684-1722;1925-1963,1,PRD proteins
ENSG00000243749,ENSP00000362435,TMEM35B,Q8NCS4,PF13564,7-125,0,Non-PRD proteins
ENSG00000127838,ENSP00000273077,PNKD,Q8N490,PF16123;PF00753,292-382;145-291,1,Viral-binding non-PRDs
ENSG00000255690,ENSP00000479256,TRIL,Q7L0X0,PF13855;PF13855;PF13855;PF13855;PF13855;PF01463,63-119;83-143;107-167;229-289;301-360;387-415,0,Non-PRD proteins
ENSG00000178695,ENSP00000366694,KCTD12,Q96CX2,PF02214,36-129,0,Viral-binding non-PRDs
ENSG00000157315,ENSP00000288025,TMED6,Q8WW62,PF01105,43-228,1,Non-PRD proteins
ENSG00000052841,ENSP00000039989,TTC17,Q96AE7,PF13181;PF13181,295-328;691-722,1,Viral-binding non-PRDs
ENSG00000254093,ENSP00000318966,PINX1,Q96BK5,PF01585,26-70,0,Non-PRD proteins
ENSG00000161929,ENSP00000461269,SCIMP,Q6UWF3,PF15050,12-143,0,Non-PRD proteins
ENSG00000112335,ENSP00000230085,SNX3,O60493,PF00787,57-148,0,Viral-binding non-PRDs
ENSG00000151136,ENSP00000280758,BTBD11,A6QL63,PF00651;PF12796,914-1022;633-718,1,Non-PRD proteins
ENSG00000178690,ENSP00000315265,DYNAP,Q8N1N2,PF15675,108-137,0,Non-PRD proteins
ENSG00000124091,ENSP00000482600,GCNT7,A0A087WZE6,PF02485,110-373,0,PRD proteins
ENSG00000175768,ENSP00000384411,TOMM5,F8W8Z9,PF10642,1941-01-01 00:00:00,0,Viral-binding non-PRDs
ENSG00000164933,ENSP00000297578,SLC25A32,Q9H2D1,PF00153;PF00153;PF00153,20-113;116-213;220-310,1,Non-PRD proteins
ENSG00000006837,ENSP00000265334,CDKL3,Q8IVW4,PF00069,4-286,0,PRD proteins
ENSG00000269693,ENSP00000473043,,M0R378,PF13912;PF00096;PF00096;PF00096;PF00096,109-133;24-46;52-74;80-102;136-158,0,Non-PRD proteins
ENSG00000118420,ENSP00000358762,UBE3D,Q7Z6J8,PF09814,13-384,1,Non-PRD proteins
ENSG00000143226,ENSP00000271450,FCGR2A,P12318,PF13895;PF13895,40-119;123-205,0,Non-PRD proteins
ENSG00000100994,ENSP00000216962,PYGB,P11216,PF00343,113-828,1,Viral-binding non-PRDs
ENSG00000285937,ENSP00000498128,FAM90A8P,A6NJQ4,PF15288,41-80,0,Non-PRD proteins
ENSG00000175518,ENSP00000369531,UBQLNL,Q8IYU4,PF00240,33-103,0,Non-PRD proteins
ENSG00000155495,ENSP00000285879,MAGEC1,O60732,PF01454,915-1082,0,Non-PRD proteins
ENSG00000109101,ENSP00000464645,FOXN1,O15353,PF00250,270-357,1,Non-PRD proteins
ENSG00000160685,ENSP00000406286,ZBTB7B,O15156,PF00651;PF00096;PF00096,24-145;374-396;430-451,0,Non-PRD proteins
ENSG00000113141,ENSP00000396301,IK,Q13123,PF07807;PF07808,445-554;76-302,0,Viral-binding non-PRDs
ENSG00000182511,ENSP00000331504,FES,P07332,PF07714;PF00611;PF00017,561-814;12-92;460-530,0,viral-binding PRDs
ENSG00000184481,ENSP00000363377,FOXO4,P98177,PF00250;PF16676,102-188;463-504,0,Non-PRD proteins
ENSG00000178343,ENSP00000326445,SHISA3,A0PJX4,PF13908,25-202,1,Non-PRD proteins
ENSG00000283228,ENSP00000489697,,A0A1B0GTH0,PF12052,16-57,1,Non-PRD proteins
ENSG00000170790,ENSP00000493131,OR10A2,Q9H208,PF13853,18-295,0,Non-PRD proteins
ENSG00000176624,ENSP00000385610,MEX3C,Q5U5Q3,PF00013;PF00013;PF13920,232-295;328-389;604-654,0,Viral-binding non-PRDs
ENSG00000125878,ENSP00000246080,TCF15,Q12870,PF00010,73-125,1,Non-PRD proteins
ENSG00000164088,ENSP00000319894,PPM1M,B7XGB9,PF00481;PF00481,103-280;294-426,1,Non-PRD proteins
ENSG00000167900,ENSP00000468425,TK1,K7ERV3,PF00265,19-174,1,Viral-binding non-PRDs
ENSG00000138080,ENSP00000369677,EMILIN1,Q9Y6C2,PF00386;PF01391;PF07546,872-1007;812-870;57-126,1,Viral-binding non-PRDs
ENSG00000155657,ENSP00000467141,TTN,A0A0A0MTS7,PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF07679;PF00069;PF02818;PF02818;PF02818;PF02818;PF02818;PF02818;PF02818;PF02818;PF02818;PF09042;PF09042;PF09042;PF09042;PF09042;PF09042;PF09042;PF18362;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041;PF00041,6-97;104-193;943-1032;1082-1172;1291-1381;1457-1547;1556-1647;1703-1794;1841-1929;2078-2168;2174-2262;2267-2352;2356-2437;2445-2530;2533-2618;2621-2706;2707-2785;2795-2879;2882-2967;2969-3054;3058-3142;3147-3233;3239-3328;3345-3433;3465-3556;3660-3749;3820-3909;3938-4028;4606-4694;4700-4789;4795-4884;4888-4977;4981-5071;5075-5162;5168-5257;5261-5350;5357-5446;5450-5539;5543-5633;5637-5726;5730-5819;5823-5912;5919-6008;6012-6101;6105-6195;6199-6288;6292-6381;6385-6474;6481-6570;6574-6663;6667-6757;6761-6850;6854-6944;6948-7037;7044-7133;7137-7226;7230-7318;7323-7412;7419-7508;7515-7604;7608-7698;7702-7791;7795-7885;7889-7978;7985-8074;8078-8167;8171-8260;8264-8353;8360-8449;8456-8545;8549-8639;8643-8732;8736-8826;8830-8919;8926-9015;9019-9108;9112-9201;9205-9294;9301-9390;9397-9486;9493-9583;9590-9679;9698-9788;9900-9986;9989-10074;10078-10167;13684-13775;14054-14138;14142-14226;14231-14316;14408-14491;14497-14582;14586-14668;14765-14845;14853-14936;14942-15023;15031-15116;15120-15204;15208-15297;15302-15386;15391-15473;15480-15565;15568-15654;15968-16052;16262-16348;16955-17044;17251-17366;17677-17761;17968-18062;18382-18476;18688-18781;19095-19180;19391-19476;19790-19874;20080-20168;20479-20566;20769-20861;21177-21263;21469-21556;21866-21953;22265-22351;22560-22640;22950-23037;23345-23432;23637-23723;24029-24119;24431-24516;24716-24805;25111-25201;25514-25598;25798-25886;26193-26283;26594-26680;26880-26969;27278-27366;27676-27763;27963-28052;28358-28447;28755-28842;29045-29134;29444-29530;29842-29930;30132-30219;30532-30616;30927-31013;31218-31305;31621-31705;32017-32102;32307-32396;32708-32792;33101-33190;33203-33287;33496-33587;33596-33686;34137-34226;34258-34350;34363-34453;34942-35031;35129-35218;35286-35375;35420-35509;35607-35694;35702-35791;35897-35988;33819-34073;10820-10846;10904-10930;10932-10958;11244-11270;11272-11298;11300-11326;11820-11846;12762-12788;13205-13231;383-454;464-505;510-549;552-593;598-639;644-685;696-728;9822-9854;15659-15744;15760-15845;15861-15946;16057-16141;16157-16241;16353-16436;16452-16537;16553-16637;16653-16737;16753-16838;16854-16940;17048-17132;17149-17234;17371-17456;17472-17556;17571-17656;17766-17849;17864-17949;18067-18152;18168-18258;18274-18361;18481-18565;18581-18671;18787-18870;18886-18975;18990-19075;19186-19269;19286-19371;19482-19565;19581-19666;19682-19769;19879-19962;19979-20062;20173-20257;20273-20357;20373-20459;20570-20654;20670-20754;20866-20950;20965-21050;21066-21157;21268-21352;21368-21453;21561-21645;21661-21746;21759-21846;21958-22041;22059-22142;22158-22244;22356-22440;22453-22535;22647-22730;22745-22830;22843-22929;23042-23126;23141-23226;23242-23328;23437-23521;23534-23617;23728-23812;23828-23913;23926-24012;24124-24209;24224-24309;24325-24411;24521-24605;24618-24701;24810-24894;24910-24995;25008-25094;25206-25291;25306-25391;25407-25493;25603-25687;25700-25784;25892-25976;25992-26077;26090-26176;26288-26373;26388-26473;26489-26575;26685-26768;26782-26865;26975-27058;27074-27159;27172-27258;27371-27456;27471-27556;27572-27658;27768-27852;27865-27948;28057-28141;28156-28241;28254-28340;28452-28537;28552-28637;28653-28737;28847-28931;28944-29027;29139-29223;29239-29324;29337-29423;29535-29620;29635-29720;29736-29822;29935-30018;30031-30114;30226-30310;30326-30411;30424-30509;30622-30705;30721-30807;30823-30907;31018-31102;31115-31198;31311-31394;31410-31495;31508-31597;31709-31793;31809-31895;31911-31997;32107-32190;32204-32289;32401-32485;32501-32586;32602-32687;32798-32881;32898-32984;33000-33085;33292-33377;33394-33479;33691-33774,0,viral-binding PRDs
ENSG00000197024,ENSP00000420418,ZNF398,Q8TD17,PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352;PF12417,399-420;427-449;455-477;483-505;511-533;539-561;567-590;142-183;43-113,0,Non-PRD proteins
ENSG00000134698,ENSP00000362306,AGO4,Q9HCK5,PF02171;PF02170;PF08699;PF16486;PF16487;PF16488,509-820;221-355;166-216;26-156;421-503;364-412,1,Non-PRD proteins
ENSG00000187676,ENSP00000343002,B3GLCT,Q6Y288,PF02434;PF02434,99-225;262-480,1,Non-PRD proteins
ENSG00000001631,ENSP00000378015,KRIT1,O00522,PF16705;PF00373;PF00023,22-198;517-640;320-352,0,PRD proteins
ENSG00000007314,ENSP00000396320,SCN4A,P35499,PF00520;PF00520;PF00520;PF00520;PF06512,130-458;577-810;1030-1306;1352-1609;816-1026,1,Non-PRD proteins
ENSG00000179921,ENSP00000430698,GPBAR1,Q8TDU6,PF00001,31-278,0,Non-PRD proteins
ENSG00000134160,ENSP00000437849,TRPM1,Q7Z4N2,PF00520;PF18139;PF16519,828-1087;70-335;1179-1234,0,Non-PRD proteins
ENSG00000198881,ENSP00000355195,ASB12,Q8WXK4,PF07525;PF00023;PF12796,268-307;175-203;30-126,1,PRD proteins
ENSG00000149485,ENSP00000322229,FADS1,A0A0A0MR51,PF00173;PF00487,78-151;212-475,0,Viral-binding non-PRDs
ENSG00000120235,ENSP00000259555,IFNA6,A0A0A0MQU8,PF00143,27-186,0,Non-PRD proteins
ENSG00000139620,ENSP00000449747,KANSL2,F8VX10,PF13891;PF13891,211-275;485-547,0,Viral-binding non-PRDs
ENSG00000277400,ENSP00000483280,,Q8WZ33,PF03148,43-115,0,Non-PRD proteins
ENSG00000151014,ENSP00000280614,NOCT,Q9UK39,PF03372,146-414,1,Non-PRD proteins
ENSG00000197603,ENSP00000421690,CPLANE1,Q9H799,PF15392,2839-3190,0,Viral-binding non-PRDs
ENSG00000159399,ENSP00000290573,HK2,P52789,PF03727;PF03727;PF00349;PF00349,225-459;673-907;21-219;469-667,0,Viral-binding non-PRDs
